Samples - Plot 0,Amplitude [V] - Plot 0
1139,-0.295703
1140,-0.306958
1141,-0.31233
1142,-0.311562
1143,-0.305167
1144,-0.294424
1145,-0.277285
1146,-0.25567
1147,-0.229835
1148,-0.198755
1149,-0.164223
1150,-0.12726
1151,-0.0879946
1152,-0.0471948
1153,-0.00613916
1154,0.0360676
1155,0.0780185
1156,0.125725
1157,0.160897
1158,0.194023
1159,0.224847
1160,0.252089
1161,0.274727
1162,0.293656
1163,0.306958
1164,0.314632
1165,0.317702
1166,0.314632
1167,0.305807
1168,0.291226
1169,0.27153
1170,0.247485
1171,0.218963
1172,0.186733
1173,0.1522
1174,0.113958
1175,0.0732862
1176,0.0319748
1177,-0.00959244
1178,-0.0551245
1179,-0.0995056
1180,-0.135317
1181,-0.17049
1182,-0.202592
1183,-0.231497
1184,-0.256566
1185,-0.277541
1186,-0.293273
1187,-0.303888
1188,-0.308621
1189,-0.308237
1190,-0.302098
1191,-0.290587
1192,-0.274088
1193,-0.253112
1194,-0.226382
1195,-0.19543
1196,-0.161153
1197,-0.124318
1198,-0.0853087
1199,-0.0450205
1200,-0.00319748
1201,0.0386255
1202,0.0795533
1203,0.126876
1204,0.160897
1205,0.193384
1206,0.22344
1207,0.250299
1208,0.272425
1209,0.290587
1210,0.302993
1211,0.310795
1212,0.312458
1213,0.308876
1214,0.300435
1215,0.286494
1216,0.267053
1217,0.242497
1218,0.213847
1219,0.181489
1220,0.145933
1221,0.108203
1222,0.0686819
1223,0.0274983
1224,-0.013941
1225,-0.0599847
1226,-0.102319
1227,-0.137747
1228,-0.171001
1229,-0.201697
1230,-0.229707
1231,-0.254519
1232,-0.274727
1233,-0.28982
1234,-0.299924
1235,-0.304144
1236,-0.302993
1237,-0.296342
1238,-0.284448
1239,-0.267053
1240,-0.245439
1241,-0.218068
1242,-0.188012
1243,-0.153479
1244,-0.116516
1245,-0.0778906
1246,-0.0379861
1247,0.00294168
1248,0.0441252
1249,0.0859482
1250,0.130585
1251,0.163199
1252,0.194023
1253,0.223056
1254,0.248892
1255,0.271146
1256,0.287901
1257,0.299412
1258,0.305679
1259,0.30683
1260,0.302482
1261,0.292378
1262,0.277285
1263,0.257461
1264,0.23316
1265,0.20515
1266,0.173175
1267,0.137492
1268,0.100017
1269,0.0606242
1270,0.0199523
1271,-0.0208476
1272,-0.0674029
1273,-0.106412
1274,-0.140305
1275,-0.17292
1276,-0.203615
1277,-0.229707
1278,-0.252473
1279,-0.27153
1280,-0.285471
1281,-0.294808
1282,-0.297493
1283,-0.29468
1284,-0.287262
1285,-0.274344
1286,-0.256182
1287,-0.233416
1288,-0.207069
1289,-0.176373
1290,-0.142352
1291,-0.106412
1292,-0.0680424
1293,-0.0289052
1294,0.0108714
1295,0.0514155
1296,0.0933664
1297,0.134166
1298,0.166653
1299,0.196453
1300,0.22344
1301,0.247229
1302,0.267053
1303,0.282657
1304,0.292761
1305,0.297238
